"file","header","type","fid","unitId","unitName","bandTop","bandBottom","note"
"Screenshot_20260712_210519_WH 40K.jpg","ADEPTUS CUSTODES","cover","AC","","","384","896",""
"Screenshot_20260712_210524_WH 40K.jpg","ALEYA","unit","AC","000002088","Aleya","368","1088",""
"Screenshot_20260712_210528_WH 40K.jpg","USTODIANS Q","unit","AC","000001453","Allarus Custodians","368","1088","fuzzy rel=0"
"Screenshot_20260712_210531_WH 40K.jpg","ANATHEMA Q","unit","AC","000002524","Anathema Psykana Rhino","368","1088","fuzzy rel=0"
"Screenshot_20260712_210535_WH 40K.jpg","BLADE CHAMPION","unit","AC","000002518","Blade Champion","368","1088",""
"Screenshot_20260712_210539_WH 40K.jpg","USTODIAN Gunn","unit","AC","000000882","Custodian Guard","368","1088","fuzzy rel=0.23"
"Screenshot_20260712_210546_WH 40K.jpg","USTODIAN WARDENS","unit","AC","000001450","Custodian Wardens","368","1088","fuzzy rel=0.06"
"Screenshot_20260712_210550_WH 40K.jpg","KNIGHT-CENTURA","unit","AC","000002520","Knight-centura","368","1088",""
"Screenshot_20260712_210553_WH 40K.jpg","PROSECUTORS","unit","AC","000002521","Prosecutors","368","1088",""
"Screenshot_20260712_210557_WH 40K.jpg","SHIELD-CAPTAIN","unit","AC","000001447","Shield-captain","368","1088",""
"Screenshot_20260712_210601_WH 40K.jpg","SHIELD-CAPTAIN IN AL... Q","unit","AC","000001447","Shield-captain","368","1088",""
"Screenshot_20260712_210605_WH 40K.jpg","SHIELD-CAPTAIN 0N DA... Q","unit","AC","000001447","Shield-captain","368","1088",""
"Screenshot_20260712_210609_WH 40K.jpg","VALORIS","unit","AC","000001446","Trajann Valoris","368","1088","fuzzy2 rel=0"
"Screenshot_20260712_210613_WH 40K.jpg","VALERIAN","unit","AC","000002519","Valerian","368","1088",""
"Screenshot_20260712_210616_WH 40K.jpg","VENERABLE CONTEMPT... Q","unit","AC","000000883","Venerable Contemptor Dreadnought","368","1088","fuzzy rel=0"
"Screenshot_20260712_210621_WH 40K.jpg","VENERABLE LAND RAIDER Q","unit","AC","000000884","Venerable Land Raider","368","1088",""
"Screenshot_20260712_210630_WH 40K.jpg","VERTUS PRAETORS","unit","AC","000001454","Vertus Praetors","368","1088",""
"Screenshot_20260712_210633_WH 40K.jpg","VIGILATORS","unit","AC","000002522","Vigilators","368","1088",""
"Screenshot_20260712_210635_WH 40K.jpg","WITCHSEEKERS","unit","AC","000002523","Witchseekers","368","1088",""
"Screenshot_20260712_210654_WH 40K.jpg","ADEPTUS MECK... Q","cover","AC","","","368","880",""
"Screenshot_20260712_210657_WH 40K.jpg","ARCHAEOPTER FUSILAVE","unit","AdM","000002087","Archaeopter Fusilave","368","2784","outside context AC"
"Screenshot_20260712_210700_WH 40K.jpg","STRATO...","unit","AdM","000002086","Archaeopter Stratoraptor","368","2784","vision"
"Screenshot_20260712_210703_WH 40K.jpg","TRANSV... Q","unit","AdM","000002085","Archaeopter Transvector","368","2784","vision"
"Screenshot_20260712_210710_WH 40K.jpg","BELISARIUS CAWL","unit","AdM","000000838","Belisarius Cawl","368","2784","outside context AC"
"Screenshot_20260712_210714_WH 40K.jpg","ORPUSCARII ELECTRO-... Q","unit","AdM","000000844","Corpuscarii Electro-priests","368","2784","fuzzy rel=0.11"
"Screenshot_20260712_210718_WH 40K.jpg","DATASMI... Q","unit","AdM","000000846","Cybernetica Datasmith","368","2784","vision"
"Screenshot_20260712_210722_WH 40K.jpg","FULGURITE ELECTRO-PR... Q","unit","AdM","000000843","Fulgurite Electro-priests","368","2784","fuzzy rel=0"
"Screenshot_20260712_210727_WH 40K.jpg","EXTERMINAT...","unit","AdM","000004211","Hastarii Exterminators","368","2784","vision"
"Screenshot_20260712_210729_WH 40K.jpg","FUSILIERS","unit","AdM","000004212","Hastarii Fusiliers","368","2784","fuzzy2 rel=0"
"Screenshot_20260712_210732_WH 40K.jpg","IRONSTRIDER BALLISTA...","unit","AdM","000000852","Ironstrider Ballistarii","368","2784","outside context AC"
"Screenshot_20260712_210740_WH 40K.jpg","ROBOTS","unit","AdM","000000845","Kastelan Robots","368","2784","fuzzy2 rel=0"
"Screenshot_20260712_210743_WH 40K.jpg","BREACHERS Q","unit","TAU","000000412","Breacher Team","368","2784","fuzzy rel=0.11"
"Screenshot_20260712_210746_WH 40K.jpg","DESTROYERS Q","unit","NEC","000002110","Skorpekh Destroyers","368","2784","fuzzy rel=0"
"Screenshot_20260712_210750_WH 40K.jpg","DUNECRAWLER","unit","AdM","000000854","Onager Dunecrawler","368","2784","fuzzy2 rel=0"
"Screenshot_20260712_210755_WH 40K.jpg","","unit","AdM","000002084","Pteraxii Skystalkers","368","2784","vision"
"Screenshot_20260712_210759_WH 40K.jpg","","unit","AdM","000002083","Pteraxii Sterylizors","368","2784","vision"
"Screenshot_20260712_210804_WH 40K.jpg","SERBERYS RAIDERS","unit","AdM","000002082","Serberys Raiders","368","2784","outside context AC"
"Screenshot_20260712_210807_WH 40K.jpg","SULPHURHO...","unit","AdM","000002081","Serberys Sulphurhounds","368","2784","vision"
"Screenshot_20260712_210810_WH 40K.jpg","SERVITOR Q","unit","AdM","000000847","Servitors","368","1280","fuzzy rel=0"
"Screenshot_20260712_210813_WH 40K.jpg","INFILTRATORS","unit","SM","000000128","Infiltrator Squad","368","2784","fuzzy rel=0.08"
"Screenshot_20260712_210817_WH 40K.jpg","RUSTSTALKERS Q","unit","SM","000002258","Stalker","368","2784","fuzzy rel=0"
"Screenshot_20260712_210828_WH 40K.jpg","SKITARII MARSHAL","unit","QI","000003841","Skitarii Marshal","368","2784","outside context AC"
"Screenshot_20260712_210831_WH 40K.jpg","SKITARII RANGERS","unit","QI","000003842","Skitarii Rangers","368","2784","outside context AC"
"Screenshot_20260712_210835_WH 40K.jpg","VANGUARD","unit","SM","000001154","Vanguard Veteran Squad","368","2784","outside context AC"
"Screenshot_20260712_210838_WH 40K.jpg","SKORPIUS DISINTEGRAT... Q","unit","AdM","000001651","Skorpius Disintegrator","368","2784","fuzzy rel=0"
"Screenshot_20260712_210842_WH 40K.jpg","SKORPIUS DUNERIDER","unit","AdM","000001650","Skorpius Dunerider","368","2784","outside context AC"
"Screenshot_20260712_210846_WH 40K.jpg","SYDONIAN DRAGOONS","unit","AdM","000000853","Sydonian Dragoons With Taser Lances","368","2784","outside context AC"
"Screenshot_20260712_210850_WH 40K.jpg","SYDONIAN DRAGOONS","unit","AdM","000000853","Sydonian Dragoons With Taser Lances","368","2784","outside context AC"
"Screenshot_20260712_210853_WH 40K.jpg","SYDONIAN SUTROS","unit","AdM","000003695","Sydonian Skatros","368","2784","fuzzy rel=0.12"
"Screenshot_20260712_210856_WH 40K.jpg","TECHNOARCHEOLOGIST","unit","AdM","000002477","Technoarcheologist","368","2784","outside context AC"
"Screenshot_20260712_210913_WH 40K.jpg","TECH-PRIEST DOMINUS Q","unit","QI","000003839","Tech-priest Dominus","368","2784","outside context AC"
"Screenshot_20260712_210917_WH 40K.jpg","TECH-PRIEST Q","unit","QI","000003839","Tech-priest Dominus","368","2784","fuzzy rel=0"
"Screenshot_20260712_210921_WH 40K.jpg","TECH-PRIEST Q","unit","QI","000003839","Tech-priest Dominus","368","2784","fuzzy rel=0"
"Screenshot_20260712_210924_WH 40K.jpg","","named","AdM","","Thulia Ghuld","368","2784","vision (not in dataset)"
"Screenshot_20260712_210942_WH 40K.jpg","","cover","AE","","","368","928","vision"
"Screenshot_20260712_210947_WH 40K.jpg","ASURMEN","unit","AE","000000571","Asurmen","368","2784","outside context AC"
"Screenshot_20260712_210950_WH 40K.jpg","AUTARCH","unit","AE","000000577","Autarch","368","2784","outside context AC"
"Screenshot_20260712_210952_WH 40K.jpg","AUTARCH","unit","AE","000000577","Autarch","368","2784","outside context AC"
"Screenshot_20260712_210955_WH 40K.jpg","","unit","AE","000000581","Avatar of Khaine","368","2784","vision"
"Screenshot_20260712_211000_WH 40K.jpg","","unit","AE","000000575","Baharroth","368","2784","vision"
"Screenshot_20260712_211003_WH 40K.jpg","ORSAIR SKYREAVERS","unit","AE","000004196","Corsair Skyreavers","368","2784","fuzzy rel=0.06"
"Screenshot_20260712_211006_WH 40K.jpg","ORSAIR VOIDREAVERS","unit","AE","000002531","Corsair Voidreavers","368","2784","fuzzy rel=0.05"
"Screenshot_20260712_211009_WH 40K.jpg","ORSAIR VOIDREAVERS","unit","AE","000002531","Corsair Voidreavers","368","2784","fuzzy rel=0.05"
"Screenshot_20260712_211012_WH 40K.jpg","ORSAIR VOIDSCARRED Q","unit","AE","000002532","Corsair Voidscarred","368","2784","fuzzy rel=0.05"
"Screenshot_20260712_211017_WH 40K.jpg","ORSAIR VOIDREAVERS","unit","AE","000002531","Corsair Voidreavers","368","2784","fuzzy rel=0.05"
"Screenshot_20260712_211021_WH 40K.jpg","ORSAIR VOIDSCARRED Q","unit","AE","000002532","Corsair Voidscarred","368","2784","fuzzy rel=0.05"
"Screenshot_20260712_211025_WH 40K.jpg","RIMSON HUNTER","unit","AE","000000619","Warp Hunter","368","2784","fuzzy rel=0"
"Screenshot_20260712_211028_WH 40K.jpg","D-CANNON PLATFORM","unit","AE","000003910","D-cannon Platform","368","2784","outside context AC"
"Screenshot_20260712_211031_WH 40K.jpg","DARK REAPERS","unit","AE","000000607","Dark Reapers","368","2784","outside context AC"
"Screenshot_20260712_211035_WH 40K.jpg","DEATH JESTER","unit","DRU","000004158","Death Jester","368","2784","outside context AC"
"Screenshot_20260712_211038_WH 40K.jpg","DIRE AVENGERS","unit","AE","000000593","Dire Avengers","368","2784","outside context AC"
"Screenshot_20260712_211041_WH 40K.jpg","","unit","AE","000000568","Eldrad Ulthran","368","2784","vision"
"Screenshot_20260712_211045_WH 40K.jpg","FALCON","unit","AE","000000609","Falcon","368","2784","outside context AC"
"Screenshot_20260712_211048_WH 40K.jpg","FARSEER","unit","AE","000000582","Farseer","368","2784","outside context AC"
"Screenshot_20260712_211145_WH 40K.jpg","","unit","AE","000000583","Farseer Skyrunner","368","2784","vision"
"Screenshot_20260712_211249_WH 40K.jpg","","unit","AE","000000583","Farseer Skyrunner","368","2784","vision"
"Screenshot_20260712_211252_WH 40K.jpg","FIRE DRAGONS","unit","AE","000000596","Fire Dragons","368","2784","outside context AC"
"Screenshot_20260712_211255_WH 40K.jpg","FIRE PRISM","unit","AE","000000610","Fire Prism","368","2784","outside context AC"
"Screenshot_20260712_211258_WH 40K.jpg","FUEGAN","unit","AE","000000574","Fuegan","368","2784","outside context AC"
"Screenshot_20260712_211301_WH 40K.jpg","GUARDIAN DEFENDERS","unit","AE","000000589","Guardian Defenders","368","2784","outside context AC"
"Screenshot_20260712_211305_WH 40K.jpg","HEMLOCK WRAITHFIGH...","unit","AE","000000606","Hemlock Wraithfighter","368","2784","outside context AC"
"Screenshot_20260712_211309_WH 40K.jpg","HOWLING BANSHEES","unit","AE","000000594","Howling Banshees","368","2784","outside context AC"
"Screenshot_20260712_211312_WH 40K.jpg","JAIN ZAR","unit","AE","000000572","Jain Zar","368","2784","outside context AC"
"Screenshot_20260712_211315_WH 40K.jpg","KHARSETH","unit","DRU","000004197","Kharseth","368","2784","outside context AC"
"Screenshot_20260712_211318_WH 40K.jpg","","named","AE","","Lhykhis","368","2784","vision (not in dataset)"
"Screenshot_20260712_211322_WH 40K.jpg","","unit","AE","000000576","Maugan Ra","368","2784","vision"
"Screenshot_20260712_211325_WH 40K.jpg","NIGHT SPINNER","unit","AE","000000611","Night Spinner","368","2784","outside context AC"
"Screenshot_20260712_211331_WH 40K.jpg","PRINCE","unit","DRU","000004198","Prince Yriel","368","2784","outside context AC"
"Screenshot_20260712_211338_WH 40K.jpg","RANGERS","unit","AE","000000592","Rangers","368","2784","outside context AC"
"Screenshot_20260712_211341_WH 40K.jpg","sunw WEAVER PLAT... Q","unit","AE","000003911","Shadow Weaver Platform","368","2784","vision"
"Screenshot_20260712_211345_WH 40K.jpg","SHADOWSEER","unit","DRU","000004159","Shadowseer","368","2784","outside context AC"
"Screenshot_20260712_211350_WH 40K.jpg","SHINING SPEARS","unit","AE","000000602","Shining Spears","368","2784","outside context AC"
"Screenshot_20260712_211353_WH 40K.jpg","SHROUD RUNNERS","unit","AE","000002533","Shroud Runners","368","2784","outside context AC"
"Screenshot_20260712_211358_WH 40K.jpg","SKYWEAVERS","unit","DRU","000004163","Skyweavers","368","2784","outside context AC"
"Screenshot_20260712_211401_WH 40K.jpg","SOLITAIRE","unit","DRU","000004160","Solitaire","368","2784","outside context AC"
"Screenshot_20260712_211405_WH 40K.jpg","SPIRITSEER","unit","AE","000000588","Spiritseer","368","2784","outside context AC"
"Screenshot_20260712_211408_WH 40K.jpg","STARFANGS","unit","DRU","000004200","Starfangs","368","2784","outside context AC"
"Screenshot_20260712_211410_WH 40K.jpg","STARWEAVER","unit","DRU","000004162","Starweaver","368","2784","outside context AC"
"Screenshot_20260712_211414_WH 40K.jpg","STORM","unit","ORK","000000027","Stormboyz","368","2784","outside context AC"
"Screenshot_20260712_211417_WH 40K.jpg","STRIKING SCORPIONS","unit","AE","000000595","Striking Scorpions","368","2784","outside context AC"
"Screenshot_20260712_211421_WH 40K.jpg","SWOOPING HAWKS","unit","AE","000000600","Swooping Hawks","368","2784","outside context AC"
"Screenshot_20260712_211424_WH 40K.jpg","THE usncH","unit","AE","000002543","The Visarch","368","2784","vision"
"Screenshot_20260712_211427_WH 40K.jpg","THE","unit","AE","000002544","The Yncarne","368","2784","vision"
"Screenshot_20260712_211430_WH 40K.jpg","TROUPE","unit","DRU","000004164","Troupe","368","2784","outside context AC"
"Screenshot_20260712_211444_WH 40K.jpg","TROUPE MASTER","unit","DRU","000004161","Troupe Master","368","2784","outside context AC"
"Screenshot_20260712_211449_WH 40K.jpg","uno CANNON PLATFO...","unit","AE","000003910","D-cannon Platform","368","2784","fuzzy rel=0.24"
"Screenshot_20260712_211452_WH 40K.jpg","VYPER","unit","AE","000000605","Vypers","368","2784","outside context AC"
"Screenshot_20260712_211456_WH 40K.jpg","wn WALKERS","unit","AE","000000612","War Walkers","368","2784","fuzzy rel=0.18"
"Screenshot_20260712_211502_WH 40K.jpg","wn WALKERS","unit","AE","000000612","War Walkers","368","2784","fuzzy rel=0.18"
"Screenshot_20260712_211505_WH 40K.jpg","WARLOCK","unit","AE","000000585","Warlock","368","2784","outside context AC"
"Screenshot_20260712_211508_WH 40K.jpg","WARLOCK CONCLAVE","unit","AE","000000584","Warlock Conclave","368","2784","outside context AC"
"Screenshot_20260712_211511_WH 40K.jpg","WARLOCK","unit","AE","000000585","Warlock","368","2784","outside context AC"
"Screenshot_20260712_211517_WH 40K.jpg","wnvE SERPENT","unit","AE","000000599","Wave Serpent","368","2784","fuzzy rel=0"
"Screenshot_20260712_211522_WH 40K.jpg","wnp SPIDERS","unit","AE","000000601","Warp Spiders","368","2784","fuzzy rel=0"
"Screenshot_20260712_211527_WH 40K.jpg","WINDRIDERS","unit","AE","000000591","Windriders","368","2784","outside context AC"
"Screenshot_20260712_211530_WH 40K.jpg","WRAITHBLADES","unit","AE","000000598","Wraithblades","368","2784","outside context AC"
"Screenshot_20260712_211534_WH 40K.jpg","WRAITHGUARD","unit","AE","000000597","Wraithguard","368","2784","outside context AC"
"Screenshot_20260712_211537_WH 40K.jpg","WRAITHKNIGHT","unit","AE","000000614","Wraithknight","368","2784","outside context AC"
"Screenshot_20260712_211542_WH 40K.jpg","","unit","AE","000000614","Wraithknight","368","2784","vision"
"Screenshot_20260712_211546_WH 40K.jpg","WRAITHLORD","unit","AE","000000613","Wraithlord","368","2784","outside context AC"
"Screenshot_20260712_211549_WH 40K.jpg","ARCHON","unit","DRU","000000634","Archon","368","2784","outside context AC"
"Screenshot_20260712_211552_WH 40K.jpg","INCUBI","unit","DRU","000000648","Incubi","368","2784","outside context AC"
"Screenshot_20260712_211555_WH 40K.jpg","","named","AE","","Ynnari Kabalite Warriors","368","2784","vision (not in dataset)"
"Screenshot_20260712_211558_WH 40K.jpg","RAIDER","unit","DRU","000000656","Raider","368","2784","outside context AC"
"Screenshot_20260712_211601_WH 40K.jpg","REAVERS","unit","DRU","000000658","Reavers","368","2784","outside context AC"
"Screenshot_20260712_211604_WH 40K.jpg","SUCCUBUS","unit","DRU","000000639","Succubus","368","2784","outside context AC"
"Screenshot_20260712_211607_WH 40K.jpg","VENOM","unit","DRU","000000657","Venom","368","2784","outside context AC"
"Screenshot_20260712_211610_WH 40K.jpg","WYCHES","unit","DRU","000000646","Wyches","368","2784","outside context AC"
"Screenshot_20260712_211613_WH 40K.jpg","YVRAINE","unit","AE","000002542","Yvraine","368","2784","outside context AC"
"Screenshot_20260712_211948_WH 40K.jpg","ODEX: ASTRA MILITAR.„ Q","cover","AM","","","384","400","fuzzy"
"Screenshot_20260712_211951_WH 40K.jpg","AEGIS DEFENCE LINE","unit","AM","000002619","Aegis Defence Line","368","2784","outside context AC"
"Screenshot_20260712_211954_WH 40K.jpg","ARMOURED SENTINELS","unit","AM","000000691","Armoured Sentinels","368","2784","outside context AC"
"Screenshot_20260712_211957_WH 40K.jpg","ARTILLERY TEAM","unit","AM","000003896","Artillery Team","368","2784","outside context AC"
"Screenshot_20260712_212001_WH 40K.jpg","ROUGH RIDERS","unit","AM","000002616","Attilan Rough Riders","368","2784","fuzzy rel=0"
"Screenshot_20260712_212004_WH 40K.jpg","BANEBLADE","unit","AM","000000702","Baneblade","368","2784","outside context AC"
"Screenshot_20260712_212017_WH 40K.jpg","BANESWORD","unit","AM","000000704","Banesword","368","2784","outside context AC"
"Screenshot_20260712_212020_WH 40K.jpg","BANEHAMMER","unit","AM","000000703","Banehammer","368","2784","outside context AC"
"Screenshot_20260712_212024_WH 40K.jpg","BASILISK","unit","AM","000000695","Basilisk","368","2784","outside context AC"
"Screenshot_20260712_212027_WH 40K.jpg","SQUAD","unit","SM","000000116","Bike Squad","368","2784","fuzzy rel=0"
"Screenshot_20260712_212030_WH 40K.jpg","ASTELLAN","unit","AM","000002607","Cadian Castellan","368","2784","vision"
"Screenshot_20260712_212033_WH 40K.jpg","OMMAND SUI... Q","unit","AM","000002609","Cadian Command Squad","368","2784","vision"
"Screenshot_20260712_212036_WH 40K.jpg","HEAVY WEAPO...","unit","AM","000000686","Cadian Heavy Weapons Squad","368","2784","vision"
"Screenshot_20260712_212041_WH 40K.jpg","RECON SQUAD","named","AM","","Cadian Recon Squad","368","2784","vision (not in dataset)"
"Screenshot_20260712_212047_WH 40K.jpg","SHOCK TROOPS","unit","AM","000002612","Cadian Shock Troops","368","2784","vision"
"Screenshot_20260712_212050_WH 40K.jpg","OMMAND Q","unit","AM","000003891","Catachan Command Squad","368","2784","vision"
"Screenshot_20260712_212054_WH 40K.jpg","HEAVY WEI...","unit","AM","000003894","Catachan Heavy Weapons Squad","368","2784","vision"
"Screenshot_20260712_212057_WH 40K.jpg","JUNGLE FIG...","unit","AM","000002614","Catachan Jungle Fighters","368","2784","vision"
"Screenshot_20260712_212100_WH 40K.jpg","ENTAUR","unit","AM","000004220","Centaur RSV","368","2784","vision"
"Screenshot_20260712_212103_WH 40K.jpg","HIMERA","unit","AM","000000692","Chimera","368","2784","vision"
"Screenshot_20260712_212107_WH 40K.jpg","OMMISSAR","unit","AM","000000716","Commissar","368","2784","fuzzy rel=0.11"
"Screenshot_20260712_212110_WH 40K.jpg","OMMISSAR GRAVES","unit","AM","000004217","Commissar Graves","368","2784","fuzzy rel=0.06"
"Screenshot_20260712_212117_WH 40K.jpg","OMMISSAR GRAVES O...","unit","AM","000004217","Commissar Graves","368","2784","fuzzy rel=0.06"
"Screenshot_20260712_212126_WH 40K.jpg","OMMISSAR","unit","AM","000000716","Commissar","368","2784","fuzzy rel=0.11"
"Screenshot_20260712_212129_WH 40K.jpg","DEATH KORPS OF KRIEG","unit","AM","000002613","Death Korps Of Krieg","368","2784","outside context AC"
"Screenshot_20260712_212137_WH 40K.jpg","DEATH RIDERS","unit","AM","000003898","Death Riders","368","2784","outside context AC"
"Screenshot_20260712_212140_WH 40K.jpg","DEATHSTRIKE","unit","AM","000000699","Deathstrike","368","2784","outside context AC"
"Screenshot_20260712_212142_WH 40K.jpg","DOOMHAMMER","unit","AM","000000705","Doomhammer","368","2784","outside context AC"
"Screenshot_20260712_212146_WH 40K.jpg","FIELD ORDNANCE BATT... Q","unit","AM","000003897","Field Ordnance Battery","368","2784","fuzzy rel=0"
"Screenshot_20260712_212149_WH 40K.jpg","GAUNT'S GHosrs","unit","AM","000002485","Gaunt’s Ghosts","368","2784","fuzzy rel=0"
"Screenshot_20260712_212152_WH 40K.jpg","HELLHAMMER","unit","AM","000000706","Hellhammer","368","2784","outside context AC"
"Screenshot_20260712_212155_WH 40K.jpg","HELLHOUND","unit","AM","000000694","Hellhound","368","2784","outside context AC"
"Screenshot_20260712_212158_WH 40K.jpg","HIPPOGRIFF","unit","AM","000004219","Hippogriff AFV","368","2784","outside context AC"
"Screenshot_20260712_212203_WH 40K.jpg","HIPPOGRIFF","unit","AM","000004219","Hippogriff AFV","368","2784","outside context AC"
"Screenshot_20260712_212206_WH 40K.jpg","HYDRA","unit","AM","000000696","Hydra","368","2784","outside context AC"
"Screenshot_20260712_212211_WH 40K.jpg","KASRKIN","unit","AM","000002615","Kasrkin","368","2784","outside context AC"
"Screenshot_20260712_212215_WH 40K.jpg","KRIEG coMBAT ENGINE...","unit","AM","000003893","Krieg Combat Engineers","368","2784","outside context AC"
"Screenshot_20260712_212218_WH 40K.jpg","KRIEG COMMAND SQUAD","unit","AM","000003889","Krieg Command Squad","368","2784","outside context AC"
"Screenshot_20260712_212223_WH 40K.jpg","KRIEG HEAVY WEAPONS... Q","unit","AM","000003895","Krieg Heavy Weapons Squad","368","2784","fuzzy rel=0"
"Screenshot_20260712_212228_WH 40K.jpg","LEMAN RUSS BATTLE","unit","AM","000000700","Leman Russ Battle Tank","368","2784","outside context AC"
"Screenshot_20260712_212238_WH 40K.jpg","LEMAN RUSS COMM""... Q","unit","AM","000000680","Leman Russ Commander","368","2784","fuzzy rel=0"
"Screenshot_20260712_212242_WH 40K.jpg","LEMAN RUSS DEMOLIS... Q","unit","AM","000000701","Leman Russ Demolisher","368","2784","fuzzy rel=0"
"Screenshot_20260712_212246_WH 40K.jpg","LEMAN RUSS ERADICAT... Q","unit","AM","000002741","Leman Russ Eradicator","368","2784","fuzzy rel=0"
"Screenshot_20260712_212252_WH 40K.jpg","LEMAN RUSS EXECUTIO...","unit","AM","000002742","Leman Russ Executioner","368","2784","outside context AC"
"Screenshot_20260712_212256_WH 40K.jpg","LEMAN RUSS EKTERMI...","unit","AM","000002743","Leman Russ Exterminator","368","2784","fuzzy rel=0.06"
"Screenshot_20260712_212300_WH 40K.jpg","LEMAN RUSS PUNISHER","unit","AM","000002744","Leman Russ Punisher","368","2784","outside context AC"
"Screenshot_20260712_212306_WH 40K.jpg","LEMAN RUSS Q","unit","AM","000000680","Leman Russ Commander","368","2784","fuzzy rel=0"
"Screenshot_20260712_212309_WH 40K.jpg","LORD MARSHAL DREIR","unit","AM","000003890","Lord Marshal Dreir","368","2784","outside context AC"
"Screenshot_20260712_212312_WH 40K.jpg","LORD SOLAR LEONTUS","unit","AM","000002605","Lord Solar Leontus","368","2784","outside context AC"
"Screenshot_20260712_212315_WH 40K.jpg","MANTICORE","unit","AM","000000698","Manticore","368","2784","outside context AC"
